,Median,Mean,10,20,25,30,40,60,70,75,80,90
E06000025,25596,30112,7335,12471,15241,17922,22201,30715,35696,38668,41626,x
E06000030,25105,30257,8261,12819,14961,17237,20862,29224,34540,36864,39800,x
E06000027,17978,20168,6275,8766,10872,12840,15101,21387,24974,26982,29041,x
E06000052,18917,21113,6038,10000,11320,12956,16036,22296,25852,28422,30486,36606
E06000053,,,,,,,,,,,,
E10000008,20441,22954,6878,10441,12569,14283,17500,23413,27527,29806,32165,40706
E07000040,21330,23151,6899,10696,11961,13944,18096,24769,28955,30128,31787,x
E07000041,23401,26574,8742,13475,15410,17062,20070,27523,31525,33758,37076,x
E07000042,19356,20675,x,7984,10000,11472,15029,23341,27999,29999,x,x
E07000043,17968,21398,5315,8595,10327,12178,15893,21151,23967,26133,x,x
E07000044,20069,22166,x,9518,12312,14673,17408,22717,25930,27579,x,x
E07000045,19208,21150,7885,10665,x,13781,16651,21574,25319,x,x,x
E07000046,16283,18334,x,x,x,11421,14413,19067,22222,x,x,x
E07000047,16559,19045,x,9115,9989,10407,13574,19455,x,x,x,x
E10000009,19576,22909,x,8893,10835,13340,16661,23636,27944,30074,33282,x
E07000048,21742,25730,x,x,x,15152,17848,25421,x,x,x,x
E07000049,x,24057,x,x,x,x,x,x,x,x,x,x
E07000050,x,23939,x,x,x,x,x,x,x,x,x,x
E07000051,x,22000,x,x,x,x,x,x,x,x,x,x
E07000052,20770,24109,7418,11016,13726,15150,17291,23785,28036,30559,34380,x
E07000053,14889,17765,x,6314,7350,8244,10746,19204,23276,25234,x,x
