E07000102,41531,45998,12715,22039,25935,28665,34855,47167,52031,57433,x,x
E07000103,26956,36252,x,12273,15385,19456,23419,31133,37934,41586,x,x
E07000241,x,40362,x,x,x,x,x,x,x,x,x,x
E10000020,27375,29849,x,14742,17193,19648,23525,30805,35349,38404,42418,50585
E07000143,26297,26842,x,14158,16240,17981,21928,29465,32452,35133,37490,x
E07000144,x,33311,x,x,x,x,x,x,x,x,x,x
E07000145,26885,28514,8483,11856,13592,16197,21741,30386,35461,37722,x,x
E07000146,25438,26746,x,13527,16141,18214,22341,28519,32852,35225,38007,x
E07000147,24062,27386,x,12509,15617,17431,21421,27994,31686,34167,x,x
E07000148,27438,30937,8160,15012,17067,20500,23296,30001,34858,37961,43607,x
E07000149,29956,31670,10719,17088,19364,21848,25850,33976,40489,42723,46161,x
E10000029,27813,31095,9333,14735,17799,20327,24156,31892,36684,39843,43588,52501
E07000200,25445,26747,x,14126,18015,19908,21821,27811,31402,34204,x,x
E07000202,27492,31593,8360,13446,17041,19828,23364,31228,35427,38048,42129,x
E07000203,24817,26759,x,10934,12677,15689,19854,28793,33713,36943,x,x
E07000244,29219,31825,10182,15372,18042,21221,25147,33688,38513,41322,44315,x
E07000245,29110,33083,10952,16792,19887,22104,25355,33820,38711,43009,x,x
E12000007,39133,52605,12500,22003,25230,28000,33387,45507,53805,59121,66330,91955
E13000001,44449,61659,16828,26498,29326,32317,38288,51730,61086,67874,75997,107755
E09000007,41643,47500,14526,24941,27669,30001,35615,46501,53820,59239,63959,x
E09000001,60000,92574,26257,34923,38682,42517,50326,71013,86855,98520,114946,163164
E09000012,40652,45613,10123,22626,26318,28947,35376,45712,53400,x,x,x
E09000013,40282,42624,x,24799,27768,30000,35362,45013,51826,54506,57752,x
E09000014,26635,28930,8275,12000,13501,15335,20929,30781,37805,40713,42869,x
E09000019,43852,51921,19146,26949,29558,32404,37414,50515,57353,61496,68033,x
E09000020,x,x,x,x,x,26326,29394,x,x,x,x,x
E09000022,37971,45458,11960,20291,24122,27333,32521,41974,48645,53579,56506,x
E09000023,x,32526,x,x,x,x,x,x,x,x,x,x
E09000025,35161,38179,11255,19723,23048,25373,30169,39740,45242,48352,53004,x
E09000028,39672,46806,13342,24159,27275,29191,33744,44834,51778,56220,63416,85998
E09000030,55751,77816,22824,30159,34239,37700,46295,68182,82500,93305,102657,x
E09000032,34999,39634,11666,18959,23302,25692,30933,39701,44740,48731,53378,x
E09000033,46542,65525,21201,28837,32149,34849,40599,54077,62736,68832,75996,109776
E13000002,30724,35832,9599,15719,18950,21690,26225,35881,41837,45626,49889,62852
E09000002,27865,30954,x,14634,17110,19802,23239,33255,37240,39455,x,x
E09000003,29988,34574,9180,15533,19089,20935,25214,36071,42287,44993,49204,x
E09000004,27941,31954,9193,x,16937,18996,23306,33254,39968,43213,x,x
E09000005,29322,33103,x,x,x,x,x,34430,x,x,x,x
E09000006,30180,34454,8487,11791,13899,17968,24174,36535,44237,49001,52026,x
E09000008,34441,38236,12553,20850,23436,25926,30266,38761,44144,48296,51785,x
E09000009,32708,34848,9880,17405,21717,23990,28016,37745,42816,45423,48545,x
E09000010,28104,32420,7770,11178,12570,16640,23100,32690,36748,40465,42814,x
E09000011,30881,32611,x,x,17514,20903,26000,34583,40554,44097,48527,x
E09000015,x,29784,x,x,x,x,x,x,x,x,x,x
E09000016,28089,33145,8727,x,x,x,23761,35824,43256,45239,x,x
E09000017,30661,38912,13628,x,21552,23079,26439,36529,42865,47948,x,x
E09000018,34669,42663,x,x,22765,24997,29987,39631,46988,x,x,x
E09000021,32337,x,10549,17997,21060,24466,28378,37466,42668,46620,x,x
E09000024,31133,37698,10703,17717,20361,22151,26863,36965,44374,48263,54152,x
E09000026,26625,30677,7314,10854,12924,16361,22370,31043,35995,38591,x,x
E09000027,x,39672,x,x,x,x,x,x,x,x,x,x
E09000029,30958,33866,x,x,x,x,x,34689,x,x,x,x
E09000031,29696,31323,9336,12369,15852,18021,23039,32205,37602,41676,48259,x
E12000008,30757,35804,10080,16890,20054,22399,26546,35754,41757,45141,49362,63703
E06000036,33581,42128,x,x,x,24087,28315,43170,x,x,x,x
E06000043,29425,32061,x,14097,18687,21456,26100,33439,38114,40828,43032,x
E06000060,32236,37927,9876,17711,20796,23185,28245,37119,44584,48465,51366,x
E06000046,22785,25253,x,x,x,x,x,27191,x,x,x,x
E06000035,27790,31686,x,17030,18592,20412,24107,32301,38913,42432,44835,x
E06000042,34577,39042,x,21011,22903,24939,29847,40269,46075,48944,x,x
E06000044,28917,33703,9300,15570,18073,21213,25269,33900,40591,43129,46147,x
E06000038,34771,40279,12943,20833,22914,25537,29396,40747,45685,48809,51550,x
E06000039,37564,44815,17472,23253,25631,29366,33504,42723,50967,56345,x,x
E06000045,30847,34175,12562,18796,21705,23517,27048,35137,40054,42044,45519,x
E06000037,36697,41670,12285,20562,23194,26251,31200,42372,48647,54015,58802,x
E06000040,x,39175,x,x,x,x,x,x,x,x,x,x
E06000041,37811,54917,11391,19626,23969,26171,31366,46412,59219,x,x,x
E10000011,24466,27784,x,11997,14421,16774,20977,27766,33141,36125,39811,x
E07000061,25439,31617,8972,14019,16024,19376,21740,29137,35848,39738,x,x
E07000062,23547,24495,x,12569,16535,17318,20749,25633,27683,30186,x,x
E07000063,x,x,x,x,x,x,x,x,x,x,x,x
E07000064,20976,25164,x,11879,12758,13835,16796,24988,27841,x,x,x
E07000065,24145,29088,7726,10750,14213,15882,20355,28884,35145,40568,x,x
E10000014,30392,34593,10464,16852,20164,22742,26616,35138,40835,44042,48134,60587
E07000084,32128,36403,10589,17822,x,23691,27308,38062,44755,48968,52576,x
E07000085,27172,31284,9783,15935,19188,20995,24239,31370,36698,40501,x,x
E07000086,29703,34160,10603,17730,21320,23753,27248,34387,40773,44214,47291,x
E07000087,30805,34646,12258,17358,19432,21958,25886,34938,40856,42679,x,x
E07000088,29384,31507,x,14110,16424,20054,24486,31981,x,x,x,x
E07000089,33194,38755,10941,16499,19307,23357,28206,38203,45099,x,x,x
E07000090,x,31275,x,x,x,x,x,x,x,x,x,x
E07000091,29062,32512,8626,12561,15489,19290,24438,32580,37408,40372,43001,x
E07000092,33369,38190,11099,18276,23241,26011,29931,38273,45332,47728,x,x
E07000093,30380,35537,11749,20122,22728,24433,27100,36165,41245,43070,47737,x
E07000094,31729,34869,10620,x,x,x,28327,36482,x,x,x,x
E10000016,27962,31848,9700,15586,18585,20872,24317,32429,37333,40326,43850,55379
E07000105,27611,29076,x,15843,18961,21367,23994,31815,36142,37870,39220,x
E07000106,24925,26179,8712,11426,13531,16383,19730,28435,32862,35024,37651,x
E07000107,33054,39739,x,x,x,26961,29416,x,x,x,x,x
E07000108,30956,37632,10959,18571,20007,22812,x,x,x,x,x,x
E07000109,x,33588,x,x,x,x,x,x,x,x,x,x
E07000110,29070,33312,12810,20697,21991,23386,26100,32376,37301,40913,43356,x
E07000111,27403,31906,10232,15455,18433,20621,24381,30555,35043,40067,x,x
E07000112,27269,32273,x,x,x,x,x,x,x,x,x,x
E07000113,24777,28144,8163,13281,16337,18204,22460,30141,34927,37699,39057,x
E07000114,22819,25682,x,9893,12332,15046,19912,26029,31815,34360,38173,x
E07000115,26468,31130,9142,14957,18046,20102,x,32283,x,x,x,x
E07000116,31209,34249,10879,18913,21935,23371,27285,34295,42694,45395,48492,x
E10000025,33696,37293,11132,19060,22148,24698,28814,38502,43683,46313,50647,62238
E07000177,30506,34435,10910,16335,18431,20911,25619,35885,40478,43002,46677,x
E07000178,34099,35989,x,x,22952,25265,28797,38758,43651,46932,x,x
E07000179,33155,38313,x,19436,23076,25452,29383,40432,44971,47741,52815,x
E07000180,36749,39489,13163,22052,24272,27106,32754,41202,45092,49233,53918,x
E07000181,31962,39483,x,x,x,x,27432,x,x,x,x,x
E10000030,32773,38848,9982,16676,20198,23030,28031,37524,45917,50421,55298,x
E07000207,31238,x,x,13307,16274,19683,25128,39740,45342,x,x,x
E07000208,27493,28149,x,x,x,x,23533,29124,33820,x,x,x
E07000209,35989,40922,x,x,x,x,31550,41363,x,x,x,x
E07000210,x,43551,x,x,x,x,x,x,x,x,x,x
E07000211,31968,36104,x,15451,18059,22359,27154,35671,38992,46810,51455,x
E07000212,36166,42295,x,18360,23323,26266,32081,43945,52219,56348,x,x
E07000213,33812,36492,x,x,20528,23328,29478,37003,42143,x,x,x
E07000214,x,40168,x,x,x,x,x,x,x,x,x,x
E07000215,32994,35105,x,15216,18907,21390,27981,37340,47293,x,x,x
E07000216,27722,31563,9611,16223,17881,19946,24567,32475,37026,40827,48099,x
